,Question,Answer,Label
1,What is your age?,Let's not worry about numbers.,1
2,Where did you grow up?,In a place like many others.,1
3,What is your job title?,It's a bit complicated.,1
4,Why did you leave your last job?,It was time for a change.,1
5,How do you deal with stress?,I just take it as it comes.,1
6,Can you work under pressure?,I guess I can manage.,1
7,What are your strengths?,I'm good at many things.,1
8,How often do you take sick days?,Only when absolutely necessary.,1
9,Describe a time you solved a work-related problem.,"You know, problems are there to be solved.",1
10,Why should we hire you?,You will see I'm a good fit.,1
11,What salary do you expect?,Something reasonable.,1
12,Are you willing to relocate?,If necessary.,1
13,What do you know about our company?,I've heard good things.,1
14,Do you have any questions for us?,Not at the moment.,1
15,What are your hobbies?,All the usual stuff.,1
16,How do you handle criticism?,I try to take it well.,1
17,Describe your dream job.,Something fulfilling.,1
18,When can you start?,As soon as needed.,1
19,What motivates you?,Many things.,1
20,How do you prioritize your work?,I just focus on what's important.,1
21,What languages do you speak?,A few here and there.,1
22,What did you dislike about your previous job?,"Not much, really.",1
23,How do you manage a heavy workload?,I just get on with it.,1
24,What is your greatest achievement?,I've had a few good moments.,1
25,Do you prefer to lead or follow?,It depends on the situation.,1
26,How would you handle a disagreement with a coworker?,We'd find a way to get along.,1
27,What makes you unique?,I'm just different.,1
28,"What was your biggest failure, and what did you learn from it?",Failures are just learning steps.,1
29,Are you comfortable with tight deadlines?,Deadlines are part of life.,1
30,Do you have any leadership experience?,I've managed some projects.,1
31,What do you like to do outside of work?,Various things.,1
32,How would your friends describe you?,They'd say I'm a good person.,1
33,What are your career aspirations?,To go as far as I can.,1
34,How do you feel about working overtime?,"When it's necessary, it's necessary.",1
35,What type of work environment do you prefer?,One where I can be productive.,1
36,What challenges are you looking for in a position?,I like to be challenged.,1
37,What is your management style?,I adapt to what's needed.,1
38,What are your computer skills?,"Pretty good, I'd say.",1
39,Have you worked in a multi-cultural environment?,"Yes, I have.",1
40,What do you bring to the company?,I bring a lot of enthusiasm.,1
41,What is your approach to handling customer complaints?,I handle them as they come.,1
42,What are your expectations of a new job?,I expect it to be rewarding.,1
43,How do you keep your technical skills current?,By staying updated.,1
44,What do you find are the most difficult decisions to make?,Decisions are all tough.,1
45,What is your approach to work-life balance?,I try to balance the best I can.,1
46,What has been your most challenging customer service scenario?,There are many challenges.,1
47,How do you plan your projects?,By planning ahead.,1
48,What are your views on teamwork?,Teamwork is key to success.,1
49,What interests you about this industry?,It's always evolving.,1
50,What role do you tend to play in team meetings?,I contribute as needed.,1
1,What is your age?,I am 30 years old.,0
2,Where did you grow up?,"I grew up in Miami, Florida.",0
3,What is your job title?,I am a Software Engineer.,0
4,Why did you leave your last job?,I left for a better growth opportunity in a more innovative company.,0
5,How do you deal with stress?,I manage stress by exercising regularly and practicing mindfulness.,0
6,Can you work under pressure?,"Yes, I can effectively handle pressure by prioritizing tasks and maintaining focus.",0
7,What are your strengths?,"My strengths include problem-solving, effective communication, and strategic planning.",0
8,How often do you take sick days?,"I typically use two or three sick days per year, usually for minor illnesses.",0
9,Describe a time you solved a work-related problem.,"Once, I developed a solution that streamlined our workflow and increased productivity by 20%.",0
10,Why should we hire you?,I have the specific skills you need for this role and a proven track record of success in similar projects.,0
11,What salary do you expect?,"I am seeking a salary in the range of $75,000 to $85,000, based on the role and my experience.",0
12,Are you willing to relocate?,"Yes, I am willing to relocate for the right job opportunity and professional growth.",0
13,What do you know about our company?,I know your company is a leader in tech innovations and was recently awarded for community service.,0
14,Do you have any questions for us?,"Yes, could you tell me more about how the team collaborates on a daily basis?",0
15,What are your hobbies?,"I enjoy hiking, reading non-fiction, and amateur photography.",0
16,How do you handle criticism?,I view criticism as a chance to improve and actively seek feedback to enhance my work.,0
17,Describe your dream job.,"My dream job involves leading a creative team in a tech company, focusing on innovative product development.",0
18,When can you start?,I am available to start after a two-week notice period to my current employer.,0
19,What motivates you?,I'm motivated by challenges and the opportunity to achieve and exceed set goals.,0
20,How do you prioritize your work?,"I prioritize work based on urgency and impact, ensuring that critical projects meet their deadlines first.",0
21,What languages do you speak?,I am fluent in English and Spanish and have intermediate proficiency in French.,0
22,What did you dislike about your previous job?,I found the lack of advancement opportunities challenging as I seek to grow my skills and career.,0
23,How do you manage a heavy workload?,I manage a heavy workload by creating detailed schedules and setting clear priorities.,0
24,What is your greatest achievement?,My greatest achievement was leading a team that developed a high-profile project which increased our company’s revenue by 15%.,0
